accession,superkingdom,phylum,class,order,family,genus,species
GCA_003601795.1,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QEXZ01,QEXZ01 sp003601795
GCA_002685315.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002685315
GCA_003650975.1,Archaea,Thermoplasmatota,E2,UBA202,JdFR-43,B78-G9,B78-G9 sp003650975
GCA_003650935.1,Archaea,Thermoplasmatota,E2,DHVEG-1,B18-G2,B91-G9,B91-G9 sp003650935
GCA_002900535.1,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,M9B1D,M9B1D sp002900535
GCA_002900555.1,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp002900555
GCA_002506745.1,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp002506745
GCA_001875345.1,Archaea,Thermoplasmatota,Poseidoniia,MGIII,CG-Epi1,CG-Epi1,CG-Epi1 sp001875345
GCA_002496635.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp002496635
GCA_002699515.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-I,MGIIa-I sp002699515
GCA_002692465.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-I,MGIIa-I sp002692465
GCA_002507425.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp002507425
GCA_002689345.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp002689345
GCA_002699425.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K2,MGIIa-K2 sp002699425
GCA_002719395.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K2,MGIIa-K2 sp002719395
GCA_013329295.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp9596u
GCA_002499705.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002499705
GCA_002731395.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L3,MGIIa-L3 sp002731395
GCA_002171315.2,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp002171315
GCA_003602665.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp003602665
GCA_002722135.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L3,MGIIa-L3 sp002722135
GCA_002723635.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L3,MGIIa-L3 sp002723635
GCA_002495405.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L4,MGIIa-L4 sp002495405
GCA_002718195.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L4,MGIIa-L4 sp002718195
GCA_002497765.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp002497765
GCA_003602475.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp003602475
GCA_002719475.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,UBA226,UBA226 sp002719475
GCA_002505935.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,UBA226,UBA226 sp002505935
GCA_002505695.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-N1,MGIIb-N1 sp002505695
GCA_002499585.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-N1,MGIIb-N1 sp002499585
GCA_002708695.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-N2,MGIIb-N2 sp002708695
GCA_002697105.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-N2,MGIIb-N2 sp002697105
GCA_013330385.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp12570u
GCA_002708385.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp002708385
GCA_002727675.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp002727675
GCA_002499785.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002499785
GCA_002494975.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002494975
GCA_002722735.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002722735
GCA_002725315.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002725315
GCA_002501805.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O5,MGIIb-O5 sp002501805
GCA_002498925.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O5,MGIIb-O5 sp002498925
GCA_002505685.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-P,MGIIb-P sp002505685
GCA_002701965.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-P,MGIIb-P sp002701965
GCA_002725475.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp002725475
GCA_002685895.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp002685895
GCA_004195715.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,Thalassarchaeum,Thalassarchaeum sp004195715
GCA_002505325.1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,Thalassarchaeum,Thalassarchaeum sp002505325
GCA_002498845.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA509,UBA509 sp002498845
GCA_002502965.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,RumEn-M2,RumEn-M2 sp002502965
GCA_002508545.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus sp002508545
GCA_002498285.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,DTU008,DTU008 sp002498285
GCA_001421185.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,DTU008,DTU008 sp001421185
GCA_001512965.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,DTU008,DTU008 sp001512965
GCF_000404225.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus intestinalis
GCF_000308215.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus luminyensis
GCA_001563305.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,ISO4-G1,ISO4-G1 sp001563305
GCA_002506175.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,ISO4-G1,ISO4-G1 sp002506175
GCA_002503545.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp002503545
GCF_001560915.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp001560915
GCA_003560875.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,PWHV01,PWHV01 sp003560875
GCA_003555025.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,PWHV01,PWHV01 sp003555025
GCA_002498605.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,VadinCA11,VadinCA11 sp002498605
GCA_001421175.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,RumEn-M2,RumEn-M2 sp001421175
GCA_002504495.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp002504495
GCA_002504405.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp002504405
GCA_002509405.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,VadinCA11,VadinCA11 sp002509405
GCA_002498365.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,VadinCA11,VadinCA11 sp002498365
GCA_002067865.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,MVRC01,MVRC01 sp002067865
GCA_003153895.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,FEN-33,FEN-33 sp003153895
GCA_003135935.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,FEN-33,FEN-33 sp003135935
GCA_002067045.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,UBA472 sp002067045
GCA_013329565.1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,UBA472 sp8940u
GCA_004377185.1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,SOIM01,SOIM01,SOIM01 sp004377185
GCA_005878385.1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp005878385
GCA_005878915.1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,EA-19,EA-19 sp005878915
GCA_005878955.1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,EA-19,EA-19 sp005878955
GCA_005878525.1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp005878525
GCA_001800825.1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp001800825
GCA_001856825.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp001856825
GCA_002505185.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp002505185
GCF_002078355.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma acidiphilum
GCF_000011185.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium
GCF_000195915.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum
GCF_004765785.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus ruber
GCA_003056285.1,Archaea,Thermoproteota,Nitrososphaeria,Caldarchaeales,NZ13-MGT,NZ13-MG1,NZ13-MG1 sp003056285
GCA_003601835.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,B26-1,PIYB01,PIYB01 sp003601835
GCA_007050885.1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,RBG-13-38-9,RBG-13-38-9,RBG-13-38-9 sp007050885
GCA_005888675.1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,BA-13,BA-13 sp005888675
GCA_001918765.1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp001918765
GCA_005882905.1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp005882905
GCA_001915065.1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp001915065
GCA_005888695.1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,BA-13,BA-13 sp005888695
GCA_004376295.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,BA1,SOJZ01,SOJZ01 sp004376295
GCA_001593925.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,B26-1,B26-1,B26-1 sp001593925
GCA_001593935.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,B26-1,B26-1,B26-1 sp001593935
GCA_003601695.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,B26-1,B63,B63 sp003601695
GCA_003661975.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,B26-1,B63,B63 sp003661975
GCA_004376385.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,BA1,BIN-L-1,BIN-L-1 sp004376385
GCA_003096255.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,BA1,BIN-L-1,BIN-L-1 sp003096255
GCA_002010925.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,UBA233,UBA233 sp002010925
GCA_002010975.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,JdFR-07,JdFR-07 sp002010975
GCA_003601605.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,JdFR-07,JdFR-07 sp003601605
GCA_003141855.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,PALSA-986,PALSA-986 sp003141855
GCF_003589585.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,PALSA-986,PALSA-986 sp003589585
GCA_003662325.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,PIYA01,PIYA01 sp003662325
GCA_003601785.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,PIYA01,PIYA01 sp003601785
GCA_001273335.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,SG8-32-3,SG8-32-3 sp001273335
GCA_007050895.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,SG8-32-3,SG8-32-3 sp007050895
GCA_002507245.1,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,UBA233,UBA233 sp002507245
GCA_003649185.1,Archaea,Thermoproteota,Methanomethylicia,B29-G17,B29-G17,B10-G16,B10-G16 sp003649185
GCA_003649085.1,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,B66-G16,B66-G16,B66-G16 sp003649085
GCA_004347955.1,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,WYZ-LMO10,WYZ-LMO10 sp004347955
GCA_001717025.1,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanomethylicus,Methanomethylicus oleusabulum
GCA_001717035.1,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanomethylicus,Methanomethylicus mesodigestum
GCA_004028775.1,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanosuratus,Methanosuratus subterraneum
GCA_001717015.1,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanosuratus,Methanosuratus petracarbonis
GCA_005877225.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp005877225
GCA_002898395.1,Archaea,Thermoproteota,Nitrososphaeria,Caldarchaeales,HR02,HRBIN02,HRBIN02 sp002898395
GCA_002255105.1,Archaea,Thermoproteota,Nitrososphaeria,Caldarchaeales,NZ13-MGT,EX4484-121,EX4484-121 sp002255105
GCA_003660635.1,Archaea,Thermoproteota,Nitrososphaeria,Caldarchaeales,NZ13-MGT,EX4484-121,EX4484-121 sp003660635
GCA_003724325.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp003724325
GCA_003352285.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Cenarchaeum,Cenarchaeum sp003352285
GCA_000200715.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Cenarchaeum,Cenarchaeum symbiosum
GCA_004297665.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum sp004297665
GCA_003569705.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum sp003569705
GCA_000746705.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus sp000746705
GCA_007037205.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus sp007037205
GCF_006740685.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp006740685
GCF_900167955.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotalea,Nitrosotalea bavarica
GCA_900065925.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotalea,Nitrosotalea devanaterra
GCF_000685395.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotenuis,Nitrosotenuis chungbukensis
GCF_000723185.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotenuis,Nitrosotenuis sp000723185
GCA_007280335.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,TA-20,TA-20 sp007280335
GCA_005877305.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,TA-20,TA-20 sp005877305
GCA_000730285.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera evergladensis
GCA_001870125.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrosocosmicus,Nitrosocosmicus exaquare
GCF_900696045.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrosocosmicus,Nitrosocosmicus franklandus
GCF_000698785.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera viennensis
GCA_005877075.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TA-21,TA-21 sp005877075
GCA_005877345.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TA-21,TA-21 sp005877345
GCA_002501855.1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,UBA10452,UBA10452 sp002501855
